"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
"TEJ","..","..","..","..","..",".."
"TEJA","..","..","..","..","..",".."
"TEJAL","..","..","..","..","..",".."
"TEJAS","14","1,430","0.0093","..","..",".."
"TEJINDER","..","..","..","..","..",".."
"TEJPAL","..","..","..","..","..",".."
"TEJVEER","..","..","..","..","..",".."
"TEJVIR","..","..","..","..","..",".."
"TEMESGEN","6","2,614","0.0040","..","..",".."
"TEMILOLUWA","5","2,931","0.0033","5","3,197","0.0036"
"TEMPERANCE","..","..","..","7","2,557","0.0050"
"TENEILLE","..","..","..","..","..",".."
"TENESHA","..","..","..","..","..",".."
"TENIELLE","..","..","..","..","..",".."
"TENILLE","..","..","..","..","..",".."
"TENISHA","..","..","..","..","..",".."
"TENLEIGH","..","..","..","..","..",".."
"TENLEY","..","..","..","22","1,092","0.0157"
"TENNESSEE","..","..","..","..","..",".."
"TENNILLE","..","..","..","..","..",".."
"TENNYSON","..","..","..","..","..",".."
"TENZIN","27","886","0.0179","20","1,190","0.0143"
"TEO","62","461","0.0410","..","..",".."
"TEODOR","16","1,299","0.0106","..","..",".."
"TEODORA","..","..","..","11","1,860","0.0079"
"TEODORO","..","..","..","..","..",".."
"TERA","..","..","..","..","..",".."
"TERANCE","..","..","..","..","..",".."
"TERELL","..","..","..","..","..",".."
"TERENCE","6","2,614","0.0040","..","..",".."
"TERESA","..","..","..","21","1,136","0.0150"
"TERESE","..","..","..","..","..",".."
"TERESSA","..","..","..","..","..",".."
"TEREZA","..","..","..","..","..",".."
"TERI","..","..","..","..","..",".."
"TERILYN","..","..","..","..","..",".."
"TERI-LYNN","..","..","..","..","..",".."
"TERRA","..","..","..","..","..",".."
"TERRAN","..","..","..","..","..",".."
"TERRANCE","11","1,696","0.0073","..","..",".."
"TERREL","..","..","..","..","..",".."
"TERRELL","..","..","..","..","..",".."
"TERREN","..","..","..","..","..",".."
"TERRENCE","14","1,430","0.0093","..","..",".."
"TERRI","..","..","..","..","..",".."
"TERRILYN","..","..","..","..","..",".."
"TERRI-LYN","..","..","..","..","..",".."
"TERRI-LYNN","..","..","..","..","..",".."
"TERRON","..","..","..","..","..",".."
"TERRY","13","1,505","0.0086","..","..",".."
"TERRYN","..","..","..","..","..",".."
"TERYN","..","..","..","..","..",".."
"TESA","..","..","..","..","..",".."
"TESHA","..","..","..","..","..",".."
"TESHIA","..","..","..","..","..",".."
"TESLA","..","..","..","..","..",".."
"TESNIM","..","..","..","..","..",".."
"TESS","..","..","..","13","1,645","0.0093"
"TESSA","..","..","..","173","147","0.1238"
"TESSIA","..","..","..","..","..",".."
"TESSIE","..","..","..","..","..",".."
"TESSLYN","..","..","..","..","..",".."
"TEVIN","..","..","..","..","..",".."
"TEVON","..","..","..","..","..",".."
"TEYA","..","..","..","6","2,824","0.0043"
"TEYAH","..","..","..","..","..",".."
"TEYANA","..","..","..","..","..",".."
"TEYLA","..","..","..","..","..",".."
"TEYO","..","..","..","..","..",".."
"THADDEUS","18","1,198","0.0119","..","..",".."
"THAI","..","..","..","..","..",".."
"THAIS","..","..","..","..","..",".."
"THALIA","..","..","..","56","507","0.0401"
"THALIE","..","..","..","13","1,645","0.0093"
"THALY","..","..","..","..","..",".."
"THALYA","..","..","..","..","..",".."
"THAMARA","..","..","..","..","..",".."
"THANE","5","2,931","0.0033","..","..",".."
"THANH","..","..","..","..","..",".."
"THANINA","..","..","..","..","..",".."
"THANOS","..","..","..","..","..",".."
"THANUSAN","..","..","..","..","..",".."
"THANUSH","..","..","..","..","..",".."
"THANUSHA","..","..","..","..","..",".."
"THANUSHAN","..","..","..","..","..",".."
"THAO","..","..","..","..","..",".."
"THARA","..","..","..","6","2,824","0.0043"
"THARANI","..","..","..","..","..",".."
"THARSIKA","..","..","..","..","..",".."
"THARUN","..","..","..","..","..",".."
"THATCHER","20","1,117","0.0132","..","..",".."
"THAYNE","..","..","..","..","..",".."
"THE","..","..","..","..","..",".."
"THEA","..","..","..","148","179","0.1059"
"THEADORA","..","..","..","8","2,326","0.0057"
"THEERAN","..","..","..","..","..",".."
"THEIA","..","..","..","26","976","0.0186"
"THELMA","..","..","..","..","..",".."
"THELONIOUS","..","..","..","..","..",".."
"THEO","900","17","0.5958","6","2,824","0.0043"
"THEODEN","13","1,505","0.0086","..","..",".."
"THEODOR","19","1,158","0.0126","..","..",".."
"THEODORA","..","..","..","38","720","0.0272"
"THEODORE","1,484","3","0.9824","..","..",".."
"THEODOROS","5","2,931","0.0033","..","..",".."
"THEON","5","2,931","0.0033","..","..",".."
"THEOPHILE","..","..","..","..","..",".."
"THEOPHILUS","..","..","..","..","..",".."
"THEOREN","..","..","..","..","..",".."
"THERESA","..","..","..","18","1,292","0.0129"
"THERESE","..","..","..","15","1,473","0.0107"
"THERON","..","..","..","..","..",".."
"THERRY","..","..","..","..","..",".."
"THESEUS","..","..","..","..","..",".."
"THI","..","..","..","..","..",".."
"THIA","..","..","..","..","..",".."
"THIAGO","111","286","0.0735","..","..",".."
"THIBAULT","..","..","..","..","..",".."
"THIEN","..","..","..","..","..",".."
"THIERNO","5","2,931","0.0033","..","..",".."
"THIERRY","7","2,348","0.0046","..","..",".."
"THIERY","..","..","..","..","..",".."
"THIJS","..","..","..","..","..",".."
"THIVIYA","..","..","..","..","..",".."
"THIVYA","..","..","..","..","..",".."
"THIYA","..","..","..","8","2,326","0.0057"
"THIZIRI","..","..","..","..","..",".."
"THOMA","..","..","..","..","..",".."
"THOMAS","1,154","8","0.7640","..","..",".."
"THOMASINA","..","..","..","..","..",".."
"THOMAS-JAMES","..","..","..","..","..",".."
"THOMAS-JAY","..","..","..","..","..",".."
"THOMAS-LOUIS","..","..","..","..","..",".."
"THOMAS-OLIVIER","..","..","..","..","..",".."
"THOMAS-XAVIER","..","..","..","..","..",".."
"THOMMY","..","..","..","..","..",".."
"THOMSON","..","..","..","..","..",".."
"THOMY","..","..","..","..","..",".."
"THONG","..","..","..","..","..",".."
"THOR","6","2,614","0.0040","..","..",".."
"THORA","..","..","..","..","..",".."
"THOREN","6","2,614","0.0040","..","..",".."
"THORIN","10","1,815","0.0066","..","..",".."
"THORN","..","..","..","..","..",".."
"THORNE","..","..","..","..","..",".."
"THORSTEN","..","..","..","..","..",".."
"THU","..","..","..","..","..",".."
"THUNDER","..","..","..","..","..",".."
"THURSTON","..","..","..","..","..",".."
"THUY","..","..","..","..","..",".."
"THY","..","..","..","..","..",".."
"THYS","..","..","..","..","..",".."
"TIA","..","..","..","52","548","0.0372"
"TIAGO","49","554","0.0324","..","..",".."
"TIAHNA","..","..","..","..","..",".."
"TIAM","13","1,505","0.0086","..","..",".."
"TIAN","..","..","..","..","..",".."
"TIANA","..","..","..","39","699","0.0279"
"TIANNA","..","..","..","19","1,238","0.0136"
"TIANYI","..","..","..","..","..",".."
"TIARA","..","..","..","26","976","0.0186"
"TIARAOLUWA","..","..","..","20","1,190","0.0143"
"TIARRA","..","..","..","..","..",".."
"TIBERIUS","7","2,348","0.0046","..","..",".."
"TIBOR","..","..","..","..","..",".."
"TIDUS","..","..","..","..","..",".."
"TIE","..","..","..","..","..",".."
"TIEGAN","..","..","..","..","..",".."
"TIEN","..","..","..","..","..",".."
"TIERA","..","..","..","..","..",".."
"TIERAN","..","..","..","..","..",".."
"TIERNAN","..","..","..","..","..",".."
"TIERNEY","..","..","..","..","..",".."
"TIERRA","..","..","..","..","..",".."
"TIFANY","..","..","..","..","..",".."
"TIFFANI","..","..","..","..","..",".."
"TIFFANIE","..","..","..","..","..",".."
"TIFFANNY","..","..","..","..","..",".."
"TIFFANY","..","..","..","47","601","0.0336"
"TIGER","..","..","..","..","..",".."
"TIJANA","..","..","..","..","..",".."
"TILA","..","..","..","..","..",".."
"TILDA","..","..","..","..","..",".."
"TILLEY","..","..","..","..","..",".."
"TILLIE","..","..","..","10","1,992","0.0072"
"TILLY","..","..","..","39","699","0.0279"
"TILMAN","..","..","..","..","..",".."
"TIM","9","1,963","0.0060","..","..",".."
"TIMBER","..","..","..","..","..",".."
"TIMEA","..","..","..","..","..",".."
"TIMEO","5","2,931","0.0033","..","..",".."
"TIMMOTHY","..","..","..","..","..",".."
"TIMMY","..","..","..","..","..",".."
"TIMO","5","2,931","0.0033","..","..",".."
"TIMOFEY","7","2,348","0.0046","..","..",".."
"TIMOTHE","11","1,696","0.0073","..","..",".."
"TIMOTHEE","21","1,086","0.0139","..","..",".."
"TIMOTHY","140","229","0.0927","..","..",".."
"TIMUR","20","1,117","0.0132","..","..",".."
"TIN","..","..","..","..","..",".."
"TINA","..","..","..","30","865","0.0215"
"TINASHE","..","..","..","..","..",".."
"TINESHA","..","..","..","..","..",".."
"TINISHA","..","..","..","..","..",".."
"TINLEY","..","..","..","..","..",".."
"TINO","..","..","..","..","..",".."
"TINSLEY","..","..","..","7","2,557","0.0050"
"TIONA","..","..","..","..","..",".."
"TIONNA","..","..","..","..","..",".."
"TIONNE","..","..","..","..","..",".."
"TIRZAH","..","..","..","..","..",".."
"TISHA","..","..","..","..","..",".."
"TISHANA","..","..","..","..","..",".."
"TITAN","8","2,136","0.0053","..","..",".."
"TITO","..","..","..","..","..",".."
"TITOUAN","..","..","..","..","..",".."
"TITUS","34","747","0.0225","..","..",".."
"TIWATOPE","..","..","..","5","3,197","0.0036"
"TIYA","..","..","..","8","2,326","0.0057"
"TIYANA","..","..","..","..","..",".."
"TIYANNA","..","..","..","..","..",".."
"TIZIANA","..","..","..","..","..",".."
"TIZIRI","..","..","..","..","..",".."
"TJ","5","2,931","0.0033","..","..",".."
"TOBBY","..","..","..","..","..",".."
"TOBENNA","..","..","..","..","..",".."
"TOBEY","..","..","..","..","..",".."
"TOBIAS","127","250","0.0841","..","..",".."
"TOBIE","..","..","..","..","..",".."
"TOBIN","6","2,614","0.0040","..","..",".."
"TOBY","25","947","0.0166","..","..",".."
"TODD","9","1,963","0.0060","..","..",".."
"TODOR","..","..","..","..","..",".."
"TOLGA","..","..","..","..","..",".."
"TOM","93","329","0.0616","..","..",".."
"TOMA","8","2,136","0.0053","..","..",".."
"TOMAS","24","982","0.0159","..","..",".."
"TOMASZ","..","..","..","..","..",".."
"TOMI","..","..","..","..","..",".."
"TOMISLAV","..","..","..","..","..",".."
"TOMMASO","..","..","..","..","..",".."
"TOMMY","103","306","0.0682","..","..",".."
"TOMMY-LEE","..","..","..","..","..",".."
"TOMY","..","..","..","..","..",".."
"TONI","..","..","..","5","3,197","0.0036"
"TONIA","..","..","..","..","..",".."
"TONISHA","..","..","..","..","..",".."
"TONY","25","947","0.0166","..","..",".."
"TONYA","..","..","..","..","..",".."
"TOOBA","..","..","..","..","..",".."
"TOPANGA","..","..","..","..","..",".."
"TOPHER","..","..","..","..","..",".."
"TOPRAK","..","..","..","..","..",".."
"TOR","..","..","..","..","..",".."
"TORAH","..","..","..","..","..",".."
"TOREN","..","..","..","..","..",".."
"TOREY","..","..","..","..","..",".."
"TORI","..","..","..","14","1,551","0.0100"
"TORIA","..","..","..","..","..",".."
"TORIE","..","..","..","..","..",".."
"TORIN","8","2,136","0.0053","..","..",".."
"TORRANCE","..","..","..","..","..",".."
"TORREN","..","..","..","..","..",".."
"TORRES","..","..","..","..","..",".."
"TORRI","..","..","..","..","..",".."
"TORRIE","..","..","..","..","..",".."
"TORRIN","..","..","..","..","..",".."
"TORRY","..","..","..","..","..",".."
"TORRYN","..","..","..","..","..",".."
"TORSTEN","..","..","..","..","..",".."
"TORVI","..","..","..","..","..",".."
"TORY","..","..","..","..","..",".."
"TORYN","..","..","..","..","..",".."
"TOSH","..","..","..","..","..",".."
"TOSHA","..","..","..","..","..",".."
"TOVA","..","..","..","9","2,160","0.0064"
"TOVE","..","..","..","..","..",".."
"TOWNES","6","2,614","0.0040","..","..",".."
"TRACE","..","..","..","..","..",".."
"TRACEY","..","..","..","..","..",".."
"TRACI","..","..","..","..","..",".."
"TRACIE","..","..","..","..","..",".."
"TRACY","..","..","..","5","3,197","0.0036"
"TRAE","..","..","..","..","..",".."
"TRAEVON","..","..","..","..","..",".."
"TRAJAN","..","..","..","..","..",".."
"TRAM","..","..","..","..","..",".."
"TRAN","..","..","..","..","..",".."
"TRANG","..","..","..","..","..",".."
"TRAVEN","..","..","..","..","..",".."
"TRAVIS","86","352","0.0569","..","..",".."
"TRAY","..","..","..","..","..",".."
"TRAYCE","..","..","..","..","..",".."
"TRAYDEN","..","..","..","..","..",".."
"TRAYSON","..","..","..","..","..",".."
"TRAYTON","..","..","..","..","..",".."
"TRAYVON","..","..","..","..","..",".."
"TRE","..","..","..","..","..",".."
"TREASURE","..","..","..","9","2,160","0.0064"
"TREENA","..","..","..","..","..",".."
"TREMAINE","..","..","..","..","..",".."
"TREMAYNE","..","..","..","..","..",".."
"TRENA","..","..","..","..","..",".."
"TRENT","11","1,696","0.0073","..","..",".."
"TRENTEN","..","..","..","..","..",".."
"TRENTIN","..","..","..","..","..",".."
"TRENTON","8","2,136","0.0053","..","..",".."
"TRENTYN","..","..","..","..","..",".."
"TRENYCE","..","..","..","..","..",".."
"TRESSA","..","..","..","..","..",".."
"TRESTON","..","..","..","..","..",".."
"TREVEN","..","..","..","..","..",".."
"TREVER","..","..","..","..","..",".."
"TREVIN","..","..","..","..","..",".."
"TREVON","..","..","..","..","..",".."
"TREVOR","36","711","0.0238","..","..",".."
"TREY","16","1,299","0.0106","..","..",".."
"TREYDEN","..","..","..","..","..",".."
"TREYSON","..","..","..","..","..",".."
"TREYTON","6","2,614","0.0040","..","..",".."
"TREYVON","..","..","..","..","..",".."
"TRI","..","..","..","..","..",".."
"TRICIA","..","..","..","..","..",".."
"TRICYA","..","..","..","..","..",".."
"TRIEU","..","..","..","..","..",".."
"TRIGG","..","..","..","..","..",".."
"TRINA","..","..","..","..","..",".."
"TRINDA","..","..","..","..","..",".."
"TRINH","..","..","..","..","..",".."
"TRINIDY","..","..","..","..","..",".."
"TRINITI","..","..","..","..","..",".."
"TRINITY","..","..","..","28","912","0.0200"
"TRIP","..","..","..","..","..",".."
"TRIPP","31","796","0.0205","..","..",".."
"TRISH","..","..","..","..","..",".."
"TRISHA","..","..","..","22","1,092","0.0157"
"TRISHAAN","..","..","..","..","..",".."
"TRISHIKA","..","..","..","18","1,292","0.0129"
"TRISHNA","..","..","..","..","..",".."
"TRISTA","..","..","..","..","..",".."
"TRISTAN","254","122","0.1682","..","..",".."
"TRISTEN","7","2,348","0.0046","..","..",".."
"TRISTIAN","..","..","..","..","..",".."
"TRISTIN","..","..","..","..","..",".."
"TRISTINE","..","..","..","..","..",".."
"TRISTON","..","..","..","..","..",".."
"TRISTYN","..","..","..","..","..",".."
"TRITON","..","..","..","..","..",".."
"TRIXIE","..","..","..","..","..",".."
"TROI","..","..","..","..","..",".."
"TRONG","..","..","..","..","..",".."
"TROY","29","837","0.0192","..","..",".."
"TRU","..","..","..","..","..",".."
"TRUC","..","..","..","..","..",".."
"TRUDY","..","..","..","11","1,860","0.0079"
"True","..","..","..","..","..",".."
"TRUETT","11","1,696","0.0073","..","..",".."
"TRUMAN","6","2,614","0.0040","..","..",".."
"TRUNG","..","..","..","..","..",".."
"TRUONG","..","..","..","..","..",".."
"TRYCE","..","..","..","..","..",".."
"TRYCIA","..","..","..","..","..",".."
"TRYNITY","..","..","..","..","..",".."
"TRYSTAN","..","..","..","..","..",".."
"TRYSTEN","..","..","..","..","..",".."
"TRYSTIN","..","..","..","..","..",".."
"TRYSTON","..","..","..","..","..",".."
"TRYTON","..","..","..","..","..",".."
"TSION","..","..","..","..","..",".."
"TSZ","..","..","..","..","..",".."
"TU","..","..","..","..","..",".."
"TUAN","..","..","..","..","..",".."
"TUCKER","70","416","0.0463","..","..",".."
"TUDOR","..","..","..","..","..",".."
"TULA","..","..","..","..","..",".."
"TULIP","..","..","..","..","..",".."
"TULLY","..","..","..","..","..",".."
"TULSI","..","..","..","7","2,557","0.0050"
"TUNG","..","..","..","..","..",".."
"TURNER","11","1,696","0.0073","..","..",".."
"TUSHAR","..","..","..","..","..",".."
"TUYET","..","..","..","..","..",".."
"TVISHA","..","..","..","..","..",".."
"TWILA","..","..","..","5","3,197","0.0036"
"TWIN","..","..","..","..","..",".."
"TWISHA","..","..","..","8","2,326","0.0057"
"TWYLA","..","..","..","10","1,992","0.0072"
"TY","27","886","0.0179","..","..",".."
"TYA","..","..","..","..","..",".."
"TYAN","..","..","..","..","..",".."
"TYANA","..","..","..","..","..",".."
"TYANNA","..","..","..","..","..",".."
"TYBERIUS","..","..","..","..","..",".."
"TYCE","..","..","..","..","..",".."
"TYCEN","..","..","..","..","..",".."
"TYDEN","..","..","..","..","..",".."
"TYDUS","..","..","..","..","..",".."
"TYE","10","1,815","0.0066","..","..",".."
"TYEISHA","..","..","..","..","..",".."
"TYESHA","..","..","..","..","..",".."
"TYLA","..","..","..","..","..",".."
"TYLAN","..","..","..","..","..",".."
"TYLAR","..","..","..","..","..",".."
"TYLEE","..","..","..","5","3,197","0.0036"
"TYLEN","..","..","..","..","..",".."
"TYLENE","..","..","..","..","..",".."
"TYLER","209","151","0.1384","5","3,197","0.0036"
"TYLER-JAMES","..","..","..","..","..",".."
"TYLOR","..","..","..","..","..",".."
"TYLYN","..","..","..","..","..",".."
"TYMIKA","..","..","..","..","..",".."
"TYNAN","..","..","..","..","..",".."
"TYNISHA","..","..","..","..","..",".."
"TYR","6","2,614","0.0040","..","..",".."
"TYRA","..","..","..","6","2,824","0.0043"
"TYRAH","..","..","..","..","..",".."
"TYRAN","..","..","..","..","..",".."
"TYRECE","..","..","..","..","..",".."
"TYREE","..","..","..","..","..",".."
"TYREESE","..","..","..","..","..",".."
"TYREKE","..","..","..","..","..",".."
"TYREL","..","..","..","..","..",".."
"TYRELL","..","..","..","..","..",".."
"TYRELLE","..","..","..","..","..",".."
"TYREN","..","..","..","..","..",".."
"TYRESE","5","2,931","0.0033","..","..",".."
"TYRESSE","..","..","..","..","..",".."
"TYRIN","..","..","..","..","..",".."
"TYRION","..","..","..","..","..",".."
"TYRIQ","..","..","..","..","..",".."
"TYRIQUE","..","..","..","..","..",".."
"TYRON","..","..","..","..","..",".."
"TYRONE","6","2,614","0.0040","..","..",".."
"TYRRELL","..","..","..","..","..",".."
"TYRUS","..","..","..","..","..",".."
"TYSEN","5","2,931","0.0033","..","..",".."
"TYSHAWN","..","..","..","..","..",".."
"TYSON","140","229","0.0927","..","..",".."
"TYTAN","..","..","..","..","..",".."
"TYUS","..","..","..","..","..",".."
"TYVON","..","..","..","..","..",".."
"TZIPPY","..","..","..","..","..",".."
"TZIREL","..","..","..","..","..",".."
"TZIVIA","..","..","..","..","..",".."
"TZVI","9","1,963","0.0060","..","..",".."
"UBAID","..","..","..","..","..",".."
"UDAY","17","1,244","0.0113","..","..",".."
"UDAYVEER","12","1,605","0.0079","..","..",".."
"UDAYVIR","..","..","..","..","..",".."
"UDHAM","13","1,505","0.0086","..","..",".."
"UDHAY","..","..","..","..","..",".."
"UDHAYVEER","..","..","..","..","..",".."
"UGO","..","..","..","..","..",".."
"ULRIC","..","..","..","..","..",".."
"ULRICH","..","..","..","..","..",".."
"ULRICK","..","..","..","..","..",".."
"ULRIK","..","..","..","..","..",".."
"ULYANA","..","..","..","..","..",".."
"ULYSSE","15","1,355","0.0099","..","..",".."
"ULYSSES","5","2,931","0.0033","..","..",".."
"UMA","..","..","..","7","2,557","0.0050"
"UMAIMA","..","..","..","..","..",".."
"UMAIR","..","..","..","..","..",".."
"UMAIZA","..","..","..","..","..",".."
"UMAMAH","..","..","..","..","..",".."
"UMAR","34","747","0.0225","..","..",".."
"UMBER","..","..","..","..","..",".."
"UMBERTO","..","..","..","..","..",".."
"UMER","..","..","..","..","..",".."
"UMESH","..","..","..","..","..",".."
"UMME","..","..","..","5","3,197","0.0036"
"UNA","..","..","..","14","1,551","0.0100"
"UNIQUE","..","..","..","..","..",".."
"UNITY","..","..","..","..","..",".."
"UNNAMED","..","..","..","..","..",".."
"UN-NAMED","..","..","..","..","..",".."
"URI","..","..","..","..","..",".."
"URIAH","11","1,696","0.0073","..","..",".."
"URIEL","19","1,158","0.0126","..","..",".."
"URIELLE","..","..","..","8","2,326","0.0057"
"URIJAH","..","..","..","..","..",".."
"UROOJ","..","..","..","..","..",".."
"URSULA","..","..","..","5","3,197","0.0036"
"URVI","..","..","..","..","..",".."
"URWA","..","..","..","..","..",".."
"USAMA","..","..","..","..","..",".."
"USHER","..","..","..","..","..",".."
"USMAN","23","1,019","0.0152","..","..",".."
"USTAT","..","..","..","8","2,326","0.0057"
"USWA","..","..","..","..","..",".."
"UTHMAN","5","2,931","0.0033","..","..",".."
"UYEN","..","..","..","..","..",".."
"UZAIR","10","1,815","0.0066","..","..",".."
"UZMA","..","..","..","..","..",".."
"UZZIAH","..","..","..","..","..",".."
"VAANI","..","..","..","38","720","0.0272"
"VAANYA","..","..","..","10","1,992","0.0072"
"VADA","..","..","..","22","1,092","0.0157"
"VADEN","..","..","..","..","..",".."
"VADIM","..","..","..","..","..",".."
"VAEDA","..","..","..","15","1,473","0.0107"
"VAIBHAV","..","..","..","..","..",".."
"VAIDA","..","..","..","9","2,160","0.0064"
"VAISHNAVI","..","..","..","7","2,557","0.0050"
"VALARIE","..","..","..","..","..",".."
"VALE","..","..","..","..","..",".."
"VALEN","..","..","..","..","..",".."
"VALENCIA","..","..","..","14","1,551","0.0100"
"VALENE","..","..","..","..","..",".."
"VALENTIN","20","1,117","0.0132","..","..",".."
"VALENTINA","..","..","..","197","126","0.1410"
"VALENTINE","..","..","..","6","2,824","0.0043"
"VALENTINO","35","725","0.0232","..","..",".."
"VALERIA","..","..","..","40","683","0.0286"
"VALERIAN","..","..","..","..","..",".."
"VALERIE","..","..","..","151","168","0.1080"
"VALERIO","6","2,614","0.0040","..","..",".."
"VALERY","..","..","..","..","..",".."
"VALESKA","..","..","..","..","..",".."
"VALKYRIE","..","..","..","..","..",".."
"VALLEN","..","..","..","..","..",".."
"VALLEY","..","..","..","..","..",".."
"VALOR","..","..","..","..","..",".."
"VAMIKA","..","..","..","25","998","0.0179"
"VAN","25","947","0.0166","..","..",".."
"VANCE","24","982","0.0159","..","..",".."
"VANDA","..","..","..","..","..",".."
"VANDEN","..","..","..","..","..",".."
"VANDER","10","1,815","0.0066","..","..",".."
"VANEEZA","..","..","..","..","..",".."
"VANESA","..","..","..","..","..",".."
"VANESSA","..","..","..","84","345","0.0601"
"VANI","..","..","..","8","2,326","0.0057"
"VANIA","..","..","..","5","3,197","0.0036"
"VANN","..","..","..","..","..",".."
"VANNA","..","..","..","7","2,557","0.0050"
"VANNESSA","..","..","..","..","..",".."
"VANSH","6","2,614","0.0040","..","..",".."
"VANSHIKA","..","..","..","..","..",".."
"VANYA","..","..","..","30","865","0.0215"
"VARDAAN","30","820","0.0199","..","..",".."
"VARNIKA","..","..","..","5","3,197","0.0036"
"VARSHA","..","..","..","..","..",".."
"VARUN","9","1,963","0.0060","..","..",".."
"VARVARA","..","..","..","6","2,824","0.0043"
"VASCO","..","..","..","..","..",".."
"VASHTI","..","..","..","..","..",".."
"VASILI","..","..","..","..","..",".."
"VASILIKI","..","..","..","..","..",".."
"VASILIOS","..","..","..","..","..",".."
"VASILISA","..","..","..","..","..",".."
"VASSILIKI","..","..","..","..","..",".."
"VAUGHAN","..","..","..","..","..",".."
"VAUGHN","25","947","0.0166","..","..",".."
"VAYDA","..","..","..","20","1,190","0.0143"
"VAYLA","..","..","..","..","..",".."
"VAYU","16","1,299","0.0106","..","..",".."
"VED","43","619","0.0285","..","..",".."
"VEDA","..","..","..","52","548","0.0372"
"VEDAANT","6","2,614","0.0040","..","..",".."
"VEDANSH","9","1,963","0.0060","..","..",".."
"VEDANT","23","1,019","0.0152","..","..",".."
"VEDDER","..","..","..","..","..",".."
"VEDH","7","2,348","0.0046","..","..",".."
"VEDIKA","..","..","..","5","3,197","0.0036"
"VEEHA","..","..","..","..","..",".."
"VEEN","..","..","..","..","..",".."
"VEER","65","442","0.0430","..","..",".."
"VEERA","..","..","..","13","1,645","0.0093"
"VEGA","..","..","..","..","..",".."
"VELAN","..","..","..","..","..",".."
"VENBA","..","..","..","..","..",".."
"VENESSA","..","..","..","..","..",".."
"VENEZIA","..","..","..","..","..",".."
"VENICE","..","..","..","..","..",".."
"VENUS","..","..","..","7","2,557","0.0050"
"VERA","..","..","..","108","266","0.0773"
"VERENA","..","..","..","..","..",".."
"VERITY","..","..","..","..","..",".."
"VERNA","..","..","..","..","..",".."
"VERNON","10","1,815","0.0066","..","..",".."
"VERONA","..","..","..","5","3,197","0.0036"
"VERONIC","..","..","..","..","..",".."
"VERONICA","..","..","..","87","332","0.0622"
"VERONICK","..","..","..","..","..",".."
"VERONIK","..","..","..","..","..",".."
"VERONIKA","..","..","..","21","1,136","0.0150"
"VERONIQUE","..","..","..","..","..",".."
"VESNA","..","..","..","..","..",".."
"VESPER","..","..","..","11","1,860","0.0079"
"VEYDA","..","..","..","..","..",".."
"VI","..","..","..","..","..",".."
"VIA","..","..","..","..","..",".."
"VIAAN","42","635","0.0278","..","..",".."
"VIAANA","..","..","..","6","2,824","0.0043"
"VIAANSH","..","..","..","..","..",".."
"VIAN","8","2,136","0.0053","..","..",".."
"VIANA","..","..","..","17","1,348","0.0122"
"VIANNA","..","..","..","15","1,473","0.0107"
"VIANNE","..","..","..","..","..",".."
"VIANNEY","..","..","..","..","..",".."
"VIANSH","..","..","..","..","..",".."
"VIC","..","..","..","..","..",".."
"VICENTE","6","2,614","0.0040","..","..",".."
"VICKI","..","..","..","..","..",".."
"VICKIE","..","..","..","..","..",".."
"VICKRAM","..","..","..","..","..",".."
"VICKY","..","..","..","6","2,824","0.0043"
"VICTOIRE","..","..","..","..","..",".."
"VICTOR","360","74","0.2383","..","..",".."
"VICTORIA","..","..","..","461","41","0.3298"
"VICTORIA-ROSE","..","..","..","..","..",".."
"VICTORY","..","..","..","..","..",".."
"VICTORYA","..","..","..","..","..",".."
"VIDA","..","..","..","12","1,739","0.0086"
"VIDHI","..","..","..","..","..",".."
"VIDYA","..","..","..","..","..",".."
"VIENNA","..","..","..","138","197","0.0987"
"VIENNE","..","..","..","..","..",".."
"VIET","..","..","..","..","..",".."
"VIGGO","12","1,605","0.0079","..","..",".."
"VIGO","..","..","..","..","..",".."
"VIHA","..","..","..","14","1,551","0.0100"
"VIHAAN","81","367","0.0536","..","..",".."
"VIHAANA","..","..","..","7","2,557","0.0050"
"VIHAN","10","1,815","0.0066","..","..",".."
"VIHANA","..","..","..","10","1,992","0.0072"
"VIJAY","..","..","..","..","..",".."
"VIKAS","..","..","..","..","..",".."
"VIKKI","..","..","..","..","..",".."
"VIKRAM","8","2,136","0.0053","..","..",".."
"VIKRAMJIT","..","..","..","..","..",".."
"VIKTOR","39","668","0.0258","..","..",".."
"VIKTORIA","..","..","..","11","1,860","0.0079"
"VILMA","..","..","..","..","..",".."
"VIMAL","..","..","..","..","..",".."
"VIN","..","..","..","..","..",".."
"VINA","..","..","..","..","..",".."
"VINAY","..","..","..","..","..",".."
"VINAYAK","..","..","..","..","..",".."
"VINCE","15","1,355","0.0099","..","..",".."
"VINCENT","205","153","0.1357","..","..",".."
"VINCENZA","..","..","..","..","..",".."
"VINCENZO","35","725","0.0232","..","..",".."
"VINCY","..","..","..","..","..",".."
"VINESH","..","..","..","..","..",".."
"VINH","..","..","..","..","..",".."
"VINNY","..","..","..","..","..",".."
"VINOTH","..","..","..","..","..",".."
"VINSON","..","..","..","..","..",".."
"VIOLA","..","..","..","26","976","0.0186"
"VIOLAINE","..","..","..","..","..",".."
